player_id,name,birth_year,nationality,primary_position
7519,Rubén González,1982.0,Spain,Defender
7520,Esteban Cambiasso,1980.0,Argentina,Midfield
7528,Valdo,1981.0,Cape Verde,Attack
7537,José Manuel Pinto,1975.0,Spain,Goalkeeper
7542,Juanfran,1976.0,Spain,Defender
7563,Andrés Palop,1973.0,Spain,Goalkeeper
7568,David Navarro,1980.0,Spain,Defender
7572,Carlos Marchena,1979.0,Spain,Defender
7575,David Albelda,1977.0,Spain,Midfield
7589,Víctor Valdés,1982.0,Spain,Goalkeeper
7593,Fernando Navarro,1982.0,Spain,Defender
7594,Carles Puyol,1978.0,Spain,Defender
7600,Andrés Iniesta,1984.0,Spain,Midfield
7602,Thiago Motta,1982.0,Italy,Midfield
7607,Xavi,1980.0,Spain,Midfield
7611,Javier Saviola,1981.0,Argentina,Attack
7612,Daniel Aranzubia,1979.0,Spain,Goalkeeper
7631,Carlos Gurpegui,1980.0,Spain,Defender
7642,Toni Doblas,1980.0,Spain,Goalkeeper
7663,Joaquín,1981.0,Spain,Attack
7669,Leo Franco,1977.0,Argentina,Goalkeeper
7717,José Antonio Reyes,1983.0,Spain,Attack
7723,Antonio López,1981.0,Spain,Defender
7739,Patxi Puñal,1975.0,Spain,Midfield
7763,José María Movilla,1975.0,Spain,Midfield
7767,Fernando Torres,1984.0,Spain,Attack
7781,Alexis Ruano,1985.0,Spain,Defender
7782,Duda,1980.0,Portugal,Midfield
7797,Albano Bizzarri,1977.0,Argentina,Goalkeeper
7803,Mario Abrante,1982.0,Spain,Defender
7818,Óscar González,1982.0,Spain,Midfield
7825,Pepe Reina,1982.0,Spain,Goalkeeper
7828,Sergio Ballesteros,1975.0,Spain,Defender
7841,Carlos Aranda,1980.0,Spain,Attack
7858,Yossi Benayoun,1980.0,Israel,Attack
7867,Rodolfo Bodipo,1977.0,Equatorial Guinea,Attack
7874,Gorka Iraizoz,1981.0,Spain,Goalkeeper
7881,Alberto Lopo,1980.0,Spain,Defender
7899,Raúl Tamudo,1977.0,Spain,Attack
7901,Nano,1982.0,Spain,Defender
7914,Carlos Kameni,1984.0,Cameroon,Goalkeeper
7922,Sergio García,1983.0,Spain,Attack
7923,Roberto Trashorras,1981.0,Spain,Midfield
7945,Miguel Ángel Corona,1981.0,Spain,Midfield
7971,Salomon Kalou,1985.0,Cote d'Ivoire,Attack
7980,David Villa,1981.0,Spain,Attack
7983,Cani,1981.0,Spain,Midfield
7985,David Generelo,1982.0,Spain,Midfield
7989,Fernando Soriano,1979.0,Spain,Midfield
8019,Simão,1979.0,Portugal,Attack
8060,Carl Medjani,1985.0,Algeria,Midfield
8108,Lluis Sastre,1986.0,Spain,Midfield
8163,Rodri,1984.0,Spain,Defender
8176,Oier Olazábal,1989.0,Spain,Goalkeeper
8184,Rubén Martínez,1984.0,Spain,Goalkeeper
8188,Jay Bothroyd,1982.0,England,Attack
8198,Cristiano Ronaldo,1985.0,Portugal,Attack
8206,Emmanuel Cascione,1983.0,Italy,Midfield
8207,Gianluca Grava,1977.0,Italy,Defender
8246,Philipp Pentke,1985.0,Germany,Goalkeeper
8317,Marcel Schäfer,1984.0,Germany,Defender
8323,Álvaro Rubio,1979.0,Spain,Midfield
8498,Florent Chaigneau,1984.0,France,Goalkeeper
8538,Tiago Mendes,1981.0,Portugal,Midfield
8552,Arouna Koné,1983.0,Cote d'Ivoire,Attack
8640,Andreas Lambertz,1984.0,Germany,Midfield
8730,Manu Lanzarote,1984.0,Spain,Midfield
8746,Carlos Peña,1983.0,Spain,Defender
8806,Cesc Fàbregas,1987.0,Spain,Midfield
8883,Emmanuel Adebayor,1984.0,Togo,Attack
8885,Jaroslav Plasil,1982.0,Czech Republic,Midfield
9091,Gustavo Munúa,1978.0,Uruguay,Goalkeeper
9218,Matthew Taylor,1981.0,England,Midfield
9239,Sébastien Grax,1984.0,France,Attack
9335,Rui Fonte,1990.0,Portugal,Attack
9340,Marvin Compper,1985.0,Germany,Defender
9354,Sejad Salihovic,1984.0,Bosnia-Herzegovina,Midfield
9413,Ricardo Vaz Tê,1986.0,Portugal,Attack
9422,Allan McGregor,1982.0,Scotland,Goalkeeper
9500,David Marshall,1985.0,Scotland,Goalkeeper
9508,Shaun Maloney,1983.0,Scotland,Midfield
9543,Edú,1981.0,Brazil,Attack
9594,Vincent Kompany,1986.0,Belgium,Defender
9619,Alan Hutton,1984.0,Scotland,Defender
9659,David Rozehnal,1980.0,Czech Republic,Defender
9697,Pavel Krmas,1980.0,Czech Republic,Defender
9706,Sotiris Kyrgiakos,1979.0,Greece,Defender
9711,Nery Castillo,1984.0,Mexico,Attack
9813,Bosingwa,1982.0,Portugal,Defender
9819,Ricardo Costa,1981.0,Portugal,Defender
9824,Hugo Almeida,1984.0,Portugal,Attack
9828,Ricardo Carvalho,1978.0,Portugal,Defender
9832,Paulo Ferreira,1979.0,Portugal,Defender
9850,Vangelis Moras,1981.0,Greece,Defender
9915,Reto Ziegler,1986.0,Switzerland,Defender
9956,James McFadden,1983.0,Scotland,Attack
9966,Almen Abdi,1986.0,Switzerland,Midfield
9967,Blerim Dzemaili,1986.0,Switzerland,Midfield
9975,Richard Chaplow,1985.0,England,Midfield
9988,Michael Dawson,1983.0,England,Defender
10003,Wes Morgan,1984.0,Jamaica,Defender
10250,Fabio Coltorti,1980.0,Switzerland,Goalkeeper
10255,Alexander Farnerud,1984.0,Sweden,Midfield
10289,Andrija Delibasic,1981.0,Montenegro,Attack
